title,section,price,structure,photo,link
達文西3房車5樓,桃園區龍泉一街,968萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201600563/TH012160262_I1.jpg,http://www.twcd.com.tw/house/C201600563.php
宏昌華廈1樓,桃園區宏昌十一街,658萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701601015/TH022160582_I3.jpg,http://www.twcd.com.tw/house/C701601015.php
冠桃園3房車,桃園區國際路一段,698萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201521096/TH022160229_I6.jpg,http://www.twcd.com.tw/house/C201521096.php
力行路7-11,桃園區力行路,8800萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201602002/TH022160906_I4.jpg,http://www.twcd.com.tw/house/C201602002.php
龍安居大三房,桃園區龍安街,798萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201516860/TH012160154_I7.jpg,http://www.twcd.com.tw/house/C201516860.php
麗寶U生活三房車,桃園區大業路二段,880萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201600522/TH012160215_I7.jpg,http://www.twcd.com.tw/house/C201600522.php
南門市場透店,桃園區鎮南街,7200萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201516873/TH012160120_I2.jpg,http://www.twcd.com.tw/house/C201516873.php
天下至尊美三房,桃園區南山街,468萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201600568/TH022160902_I7.jpg,http://www.twcd.com.tw/house/C201600568.php
新洋房,桃園區大興西路二段,598萬,1房 1廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C101518869/TH022160893_I7.jpg,http://www.twcd.com.tw/house/C701516092.php
桃園後站店住,桃園區林森路,538萬,4房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701516092/TH032160253_I1.jpg,http://www.twcd.com.tw/house/C101518869.php
寶城皇家美3房,平鎮區新富五街,660萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C301601284/TH022160595_I1.jpg,http://www.twcd.com.tw/house/C301601284.php
領袖王朝三房,平鎮區環南路二段,568萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C101514916/TH022160207_I2.jpg,http://www.twcd.com.tw/house/C101514916.php
心聚庭院美宅,平鎮區大連街,980萬,2房 1廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C201516299/TH021160080_I7.jpg,http://www.twcd.com.tw/house/C201516299.php
遠雄龍岡2期三房車,平鎮區C1棟,1498萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701516672/TH032160130_I8.jpg,http://www.twcd.com.tw/house/C701516672.php
美活市景觀2房車,平鎮區南平路,658萬,2房 2廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C701511918/TH042160022_I7.jpg,http://www.twcd.com.tw/house/C701511918.php
龍潭正市區紀凡希4房優質華廈,龍潭區公園路,1980萬,4房 3廳 2.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2549560/YCBA033AG072092513A.jpg?t=-2079994378,https://buy.yungching.com.tw/house/2549560
新桃源8樓2房+車位及裝潢,龍潭區民族路,558萬,2房 2廳 1.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2234192/YCBA033AA064884105A.jpg?t=-607314421,https://buy.yungching.com.tw/house/2234192
新桃源2房+車位,龍潭區民族路,498萬,2房 2廳 1.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2234189/YCBA033AA064884001A.jpg?t=-203165366,https://buy.yungching.com.tw/house/2234189
鄉園美3房,龍潭區中正路上華段,698萬,3房 2廳 2.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2481917/YCDC105AA068842410A.jpg?t=961234582,https://buy.yungching.com.tw/house/2481917
香榭四季別墅/時尚溫馨風格,龍潭區干城路,1168萬,4房 3廳 3.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2224722/YCBA059AA065337701A.jpg?t=-136439484,https://buy.yungching.com.tw/house/2224722
埔心低總價美寓,楊梅區萬大路,288萬,3房 2廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C101518820/TH022160674_I2.jpg,http://www.twcd.com.tw/house/C101518820.php
楊梅夏威夷別墅,楊梅區光裕南街,550萬,3房 3廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C101518839/TH022160671_I7.jpg,http://www.twcd.com.tw/house/C101518839.php
楊梅全新別墅,楊梅區民有路二段,998萬,4房 2廳 4.0衛,http://www.twcd.com.tw/upload/objectimg/C801516741/TH022160617_I1.jpg,http://www.twcd.com.tw/house/C801516741.php
楊梅後站透店,楊梅區梅高路,4388萬,0房 0廳 4.0衛,http://www.twcd.com.tw/upload/objectimg/C701507564/TH032160189_I8.jpg,http://www.twcd.com.tw/house/C701507564.php
北湖庭院車位別墅,楊梅區富祥街,588萬,5房 2廳 3.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2397696/TCNB015EA002716103A.jpg?t=-848051711,https://buy.yungching.com.tw/house/2397696
新屋66旁小型加工廠,新屋區上青埔,1680萬,1房 1廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C301603534/TH022160889_I5.jpg,http://www.twcd.com.tw/house/C301603534.php
新屋低總價優質透天,新屋區田中路,350萬,4房 3廳 3.0衛,http://www.twcd.com.tw/upload/objectimg/C301603548/TH022160818_I8.jpg,http://www.twcd.com.tw/house/C301603548.php
過嶺大面寬店住,新屋區新榮路,480萬,0房 2廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C301603549/TH022160817_I2.jpg,http://www.twcd.com.tw/house/C301603549.php
新屋全新別墅,新屋區中山西路二段,1088萬,4房 2廳 3.5衛,http://www.twcd.com.tw/upload/objectimg/C801513262/TH032150481_I1.jpg,http://www.twcd.com.tw/house/C801513262.php
新屋全新店墅(B),新屋區中山西路二段,1180萬,4房 2廳 3.5衛,http://www.twcd.com.tw/upload/objectimg/C801513255/TH032150485_I7.jpg,http://www.twcd.com.tw/house/C801513255.php
觀音收租大透天,觀音區仁德街,1798萬,15房 0廳 13.0衛,http://www.twcd.com.tw/upload/objectimg/C801516232/TH021160014_I8.jpg,http://www.twcd.com.tw/house/C801516232.php
草漯優美透天,觀音區六合街,780萬,4房 3廳 2.5衛,http://www.twcd.com.tw/upload/objectimg/C301601322/TH022160888_I7.jpg,http://www.twcd.com.tw/house/C301601322.php
觀音大地坪全新透天,觀音區東大路,1688萬,8房 3廳 6.0衛,http://www.twcd.com.tw/upload/objectimg/C301601328/TH022160905_I8.jpg,http://www.twcd.com.tw/house/C301601328.php
觀音鼎藏別墅,觀音區敬業街,750萬,4房 3廳 4.0衛,http://www.twcd.com.tw/upload/objectimg/C801518210/TH021160135_I6.jpg,http://www.twcd.com.tw/house/C801518210.php
草漯電梯３房車,觀音區十全路,308萬,3房 2廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C701514884/TH012160092_I1.jpg,http://www.twcd.com.tw/house/C701514884.php
中原二十間收租透天,中壢區幸福街,2298萬,20房0廳20.0衛,http://www.twcd.com.tw/upload/objectimg/C701601396/TH022160904_I4.jpg,http://www.twcd.com.tw/house/C701601396.php
精忠國宅,中壢區精忠二街,758萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201518182/TH011160040_I7.jpg,http://www.twcd.com.tw/house/C201518182.php
延平路店面,中壢區延平路,1750萬,0房 0廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C201516876/TH012160131_I4.jpg,http://www.twcd.com.tw/house/C201516876.php
心藝兩房車,中壢區榮安十二街,838萬,2房 1廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C201516843/TH012160175_I1.jpg,http://www.twcd.com.tw/house/C201516843.php
法國香榭美三房,中壢區環西路二段,798萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C301511805/TH022160123_I8.jpg,http://www.twcd.com.tw/house/C301511805.php
新站特區3房車,中壢區致遠一路,1758萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C301601285/TH022160577_I8.jpg,http://www.twcd.com.tw/house/C301601285.php
層峰溫馨三房車,龜山區南祥路,998萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701601385/TH042160082_I8.jpg,http://www.twcd.com.tw/house/C701601385.php
德友巨蛋露臺戶,龜山區民生街,1598萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201600538/TH012160230_I8.jpg,http://www.twcd.com.tw/house/C201600538.php
南崁住辦,龜山區民生北路一段,798萬,0房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701518123/TH021160140_I3.jpg,http://www.twcd.com.tw/house/C701518123.php
圓堡別墅,龜山區廷美街,1080萬,5房 4廳 3.0衛,http://www.twcd.com.tw/upload/objectimg/C101518807/TH022160549_I1.jpg,http://www.twcd.com.tw/house/C101518807.php
陸光收租店面,龜山區同心一路,1488萬,0房 1廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C701518505/TH032160170_I2.jpg,http://www.twcd.com.tw/house/C701518505.php
輝煌世紀三房車,八德區中華路,880萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201516023/TH022160327_I1.jpg,http://www.twcd.com.tw/house/C201516023.php
輝煌世紀1+1房車,八德區中華路,535萬,2房 1廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C201516831/TH022160616_I1.jpg,http://www.twcd.com.tw/house/C201516831.php
時代園邸3房車,八德區廣興二路,868萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201518170/TH011160058_I3.jpg,http://www.twcd.com.tw/house/C201518170.php
閱讀翡冷翠5,八德區豐德二路,3180萬,6房 2廳 3.0衛,http://www.twcd.com.tw/upload/objectimg/C201516866/TH012160134_I1.jpg,http://www.twcd.com.tw/house/C201516866.php
力行街透天,八德區力行街,1550萬,2房 5廳 3.0衛,http://www.twcd.com.tw/upload/objectimg/C201600526/TH012160257_I1.jpg,http://www.twcd.com.tw/house/C201600526.php
仁善國小旁透天,大溪區儲蓄路,398萬,4房 2廳 2.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2389355/YCBA056AG072985201A.jpg?t=584520597,https://buy.yungching.com.tw/house/2389355
崎頂透店,大溪區新興街,768萬,0房 2廳 1.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/100/75/YC01/2365597/YCBA049AA063029610A.jpg?t=-438975165,https://buy.yungching.com.tw/house/2365597
遠雄大溪地超美景觀3房雙車位,大溪區員林路一段,1598萬,3房 2廳 2.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2293487/YCBA056AG059224516A.jpg?t=-2109889170,https://buy.yungching.com.tw/house/2293487
遠雄大溪地優質屋,大溪區員林路一段,1080萬,2房 2廳 2.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/100/75/YC01/2499789/YCBA056AA070420702A.jpg?t=2139540125,https://buy.yungching.com.tw/house/2499789
大溪-遠雄大溪地絕美山景2+1房,大溪區員林路一段,1188萬,2房 2廳 2.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/100/75/YC01/2369196/YCBA062AG072105112A.jpg?t=888657510,https://buy.yungching.com.tw/house/2369196
果林商務大套房,大園區三民路二段,498萬,1房 1廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C801516737/TH022160662_I8.jpg,http://www.twcd.com.tw/house/C801516737.php
大園優質穩賣透天,大園區科八街,1180萬,4房 3廳 3.0衛,http://www.twcd.com.tw/upload/objectimg/C301601339/TH022160527_I1.jpg,http://www.twcd.com.tw/house/C301601339.php
太子馥1期景觀戶4車位,大園區致遠一路,3350萬,4房 3廳 3.0衛,http://www.twcd.com.tw/upload/objectimg/C301601257/TH022160589_I1.jpg,http://www.twcd.com.tw/house/C301601257.php
大園精華區金透店,大園區中山北路,1950萬,2房 2廳 3.0衛,http://www.twcd.com.tw/upload/objectimg/C801516722/TH022160555_I1.jpg,http://www.twcd.com.tw/house/C801516722.php
果林超值透天,大園區果林村,1380萬,4房 2廳 3.0衛,http://www.twcd.com.tw/upload/objectimg/C701602369/TH012160261_I8.jpg,http://www.twcd.com.tw/house/C701602369.php
君璽露台雙車位,蘆竹區忠孝西路,1880萬,4房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701511916/TH022160124_I1.jpg,http://www.twcd.com.tw/house/C701511916.php
飛飛想3房車,蘆竹區南山路一段,1390萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201516053/TH012160053_I8.jpg,http://www.twcd.com.tw/house/C201516053.php
國家學院三房車,蘆竹區大正街,900萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701518119/TH031160059_I7.jpg,http://www.twcd.com.tw/house/C701518119.php
大竹路旁透天,蘆竹區大竹路,780萬,4房 2廳 3.0衛,http://www.twcd.com.tw/upload/objectimg/C701602387/TH042160096_I5.jpg,http://www.twcd.com.tw/house/C701602387.php
星馳市4房車,蘆竹區忠孝西路,898萬,4房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701518131/TH012160241_I1.jpg,http://www.twcd.com.tw/house/C701518131.php
角板山透天,復興區水管頭,298萬,3房 2廳 2.0衛,http://img.pacific.com.tw/bimg/063286A.jpg,http://buy.sinyi.com.tw/house/063286PA.html
